PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40652095,Trends in the use and efficacy of adjuvant immunotherapy in muscle-invasive urothelial carcinoma.,2025-Jul-12,Hisanobu Adachi; Shingo Myoen,"Department of Urology, Miyagi Cancer Center, Natori, Japan.",Not Available
40651933,Effects of different B-cell-depleting strategies on the lymphatic tissue.,2025-Jul-11,Aleix Rius Rigau; Aline Bozec; Andreas Mackensen; Andreas Ramming; Andreas Wirsching; Carlo Tur; Christina Bergmann; Danae-Mona Nöthling; Fabian Müller; Filippo Fagni; Giulia Corte; Janina Auth; Jochen Wacker; Jule Taubmann; Koray Tascilar; Laura Bucci; Maria Antonietta D Agostino; Maria Gabriella Raimondo; Melanie Hagen; Panagiotis Garantziotis; Ricardo Grieshaber-Bouyer; Sebastian Böltz; Simon Rauber; Yi Qin,"Department of Internal Medicine 5 - Hematology and Oncology, Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU) and Universitätsklinikum Erlangen, Erlangen, Germany.; Department of Medicine 3 - Rheumatology and Immunology, Friedrich-Alexander-Universität Erlangen-Nürnberg and Uniklinikum Erlangen, Erlangen, Germany; Deutsches Zentrum für Immuntherapie (DZI), Friedrich-Alexander-Universität Erlangen-Nürnberg and Uniklinikum Erlangen, Erlangen, Germany.; Department of Medicine 3 - Rheumatology and Immunology, Friedrich-Alexander-Universität Erlangen-Nürnberg and Uniklinikum Erlangen, Erlangen, Germany; Deutsches Zentrum für Immuntherapie (DZI), Friedrich-Alexander-Universität Erlangen-Nürnberg and Uniklinikum Erlangen, Erlangen, Germany. Electronic address: mariagabriella.raimondo@uk-erlangen.de.; Department of Medicine 3 - Rheumatology and Immunology, Friedrich-Alexander-Universität Erlangen-Nürnberg and Uniklinikum Erlangen, Erlangen, Germany; Deutsches Zentrum für Immuntherapie (DZI), Friedrich-Alexander-Universität Erlangen-Nürnberg and Uniklinikum Erlangen, Erlangen, Germany; Division of Rheumatology-Fondazione Policlinico Universitario A. Gemelli IRCCS - Università Cattolica del Sacro Cuore, Rome, Italy.; Division of Rheumatology-Fondazione Policlinico Universitario A. Gemelli IRCCS - Università Cattolica del Sacro Cuore, Rome, Italy.",Not Available
40651147,"Molecular characteristics by race and ethnicity of patients with high tumor mutational burden, high microsatellite instability, and mismatch repair deficiency: Real-world data from the multi-institutional Endometrial cancer Molecularly Targeted Therapy Consortium (ECMT2).",2025-Jul-11,Amanda L Jackson,"Division of Gynecologic Oncology, Department of Obstetrics and Gynecology, University of Cincinnati, Cincinnati, OH, United States.",Not Available
40650712,Enasidenib as treatment for AML with IDH2 mutation: multicenter real-life study of the early-access program in Spain.,2025-Jul-12,Adolfo de la Fuente; Ana Alfonso,"Hematology Department, MD Anderson Cancer Center Madrid, Madrid, Spain.; Hematology and Cell Therapy Department, Clinica Universidad de Navarra, IdiSNA, Pamplona, Spain.",Not Available
40646417,Highlights from MPN Asia 2025: Advances in Molecular Pathogenesis and Therapeutic Strategies in Myeloproliferative Neoplasms.,2025-Jul-12,Abdulraheem Yacoub; Albert Qin; Jean-Jacques Kiladjian; Lennex Hsueh-Lin Yu; Raajit Rampal,"Center for Hematologic Malignancies, Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Hematologic Malignancies and Cellular Therapeutics, University of Kansas Cancer Center, Westwood, KS, USA.; INSERM U1131, Hopital Saint-Louis, Paris, France.; PharmaEssentia Corporation, Taipei, Taiwan.",Not Available
40646132,2025 European LeukemiaNet recommendations for the management of chronic myeloid leukemia.,2025-Jul-11,Andreas Hochhaus; Delphine Rea; Franck E Nicolini; Gianantonio Rosti; Jeffrey H Lipton; Jerald Radich; Michael Mauro; Richard Silver; Rüdiger Hehlmann,"Division of Hematology and Medical Oncology, Cornell Medicine, New York, NY, USA.; Département d'Hématologie, Hôpital Saint-Louis, APHP, Paris, France.; Hematology Department and INSERM U1052, CRCL, Centre Léon Bérard, Lyon Cédex 08, France.; Hematology/Oncology, Universitätsklinikum Jena, Jena, Germany.; IRCCS/IRST Dino Amadori, Meldola, FC, Italy.; Medizinische Fakultät Mannheim, Universität Heidelberg, Mannheim, and ELN Foundation, Weinheim, Germany.; Memorial Sloan Kettering Cancer Center, New York, NY, USA.; Princess Margaret Cancer Centre, University of Toronto, Toronto, ON, Canada.; Translational Science & Therapeutics Division, Fred Hutchinson Cancer Center, Seattle, WA, USA.",Not Available
40645660,Pretreatment and on-treatment ctDNA and tissue biomarkers predict recurrence in patients with stage IIIB-D/IV melanoma treated with adjuvant immunotherapy: CheckMate 915.,2025-Jul-11,Corey Ritchings; Daniel Tenney; David Balli; Gina Fusaro; Han Chang; Hao Tang; Jonathan Baden; Keyur Desai; Michele Del Vecchio; Sheen Wang; Shu-Pang Huang; Sonia Dolfi,"Bristol Myers Squibb, Princeton, New Jersey, USA Sonia.Dolfi@bms.com georgina.long@sydney.edu.au.; Bristol Myers Squibb, Princeton, New Jersey, USA.; Fondazione IRCCS Istituto Nazionale dei Tumori di Milano, Milan, Italy.",Not Available
40645505,oDigital pathology biomarkers for guiding radiotherapy-based treatment concepts in prostate cancer - a systematic review and expert consensus.,2025-Jul-09,Alejandro Berlin; Cédric Draulans; Eric Wegener; Jarad Martin; Juan Gómez Rivas; Mark R Waddle; Osama Mohamad; Paul Sargos; Pierre Blanchard; Piet Ost,"Department of Genito-Urinary Radiation Oncology, MD Anderson Cancer Center, Houston, TX, USA.; Department of Oncology, KU Leuven, Leuven, Belgium; Department of Radiation Oncology, AZ Sint-Maarten, Mechelen, Belgium.; Department of Radiation Oncology, Gustave Roussy, Villejuif, France.; Department of Radiation Oncology, Iridium Network, Wilrijk (Antwerp), Belgium.; Department of Radiation Oncology, Mayo Clinic, Rochester, MN, USA.; Department of Radiotherapy, Institut Bergonié, Bordeaux, France; Amethyst Radiotherapy Group, Paris, France.; Department of Urology, Hopital Clinico San Carlos, Madrid, Spain.; GenesisCare, Newcastle, New South Wales, Australia.; Radiation Medicine Program, Princess Margaret Cancer Centre, University Health Network, Toronto, Ontario, Canada; Department of Radiation Oncology, Faculty of Medicine, University of Toronto, Toronto, Ontario, Canada.",Not Available
40645195,Derivation and validation of the AJCC9V pathological stage classification for HPV-positive oropharyngeal carcinoma: a multicentre registry analysis.,2025-Jul-08,Allen S Ho; Brian O'Sullivan; James S Lewis; Michael Luu; Shao Hui Huang; Snehal G Patel; Zachary S Zumsteg,"Department of Biostatistics and Bioinformatics, Cedars-Sinai Medical Center, Los Angeles, CA, USA.; Department of Laboratory Medicine and Pathology, Mayo Clinic Arizona, Scottsdale, AZ, USA.; Department of Radiation Oncology, Cedars-Sinai Medical Center, Los Angeles, CA, USA.; Department of Radiation Oncology/Otolaryngology-Head and Neck Surgery, Princess Margaret Cancer Centre, University of Toronto, Toronto, ON, Canada.; Division of Otolaryngology-Head and Neck Surgery, Department of Surgery, Cedars-Sinai Medical Center, Los Angeles, CA, USA. Electronic address: allen.ho@cshs.org.; Head and Neck Service, Department of Surgery, Memorial Sloan Kettering Cancer Center, New York, NY, USA.",Not Available
40640335,Salvage therapy with allogeneic invariant natural killer cells in a heavily pre-treated germ cell tumor.,2025-Jul-10,Dhan Chand; F Anthony Greco; Jennifer Buell; Joseph E Grossman; Marco A Purbhoo; Steven O'Day; Thiago Favano,"Agenus Inc, Lexington, MA, USA.; MiNK Therapeutics, Lexington, MA, USA.; Sarah Cannon Cancer Center, Tennessee Oncology, Nashville, TN, USA.",Not Available
40639383,Metformin for patients with metastatic prostate cancer starting androgen deprivation therapy: a randomised phase 3 trial of the STAMPEDE platform protocol.,2025-Jul-07,Simon Chowdhury; Uschi Hofmann; Zafar Malik,"Calderdale and Huddersfield NHS Trust, Halifax, UK.; Guy's and St Thomas' NHS Foundation Trust, London, UK.; The Clatterbridge Cancer Centre NHS Foundation Trust, Liverpool, UK.",Not Available
